Cell Name,Pin name,Direction,Max Transition,Area,Function,Leakage Power,Max_Cap,Input Transition Fall,Input Transition Rise,Output Capacitance Fall,Output Capacitance Rise,Delay Fall,Delay Rise,Delay Value Fall,Delay Value Rise,Max Pin Delay Fall,Max Pin Delay Rise
sky130_fd_sc_hd__a2111o_1,"['A1', 'A2', 'B1', 'C1', 'D1', 'X']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.499941]",11.2608,(A1&A2)|(B1)|(C1)|(D1),0.001675069,"[0.002412, 0.002289, 0.00241, 0.002375, 0.002347, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00132834, 0.00352895, 0.00937526, 0.024907, 0.0661697, 0.175791]","[0.0005, 0.00132834, 0.00352895, 0.00937526, 0.024907, 0.0661697, 0.175791]","[0.4020018, 0.4125417, 0.4338126, 0.4750526, 0.5523861, 0.7061842, 1.0551442]","[0.1251233, 0.1325927, 0.1495871, 0.1885837, 0.2846892, 0.530456, 1.1788474]",0.4750526,0.1885837,A2,A2
sky130_fd_sc_hd__a2111o_2,"['A1', 'A2', 'B1', 'C1', 'D1', 'X']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.502465]",12.512,(A1&A2)|(B1)|(C1)|(D1),0.00199315,"[0.002465, 0.002394, 0.002333, 0.002456, 0.002425, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00147092, 0.00432722, 0.01273, 0.0374497, 0.110171, 0.324107]","[0.0005, 0.00147092, 0.00432722, 0.01273, 0.0374497, 0.110171, 0.324107]","[0.4622788, 0.4714882, 0.4920876, 0.5330719, 0.6100879, 0.7614442, 1.1099017]","[0.1322998, 0.1382885, 0.1525456, 0.1855156, 0.2692391, 0.503892, 1.1847048]",0.5330719,0.1855156,A2,A2
sky130_fd_sc_hd__a2111o_4,"['A1', 'A2', 'B1', 'C1', 'D1', 'X']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.499561]",21.2704,(A1&A2)|(B1)|(C1)|(D1),0.009148588,"[0.004296, 0.004466, 0.004463, 0.004398, 0.004313, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00159936, 0.00511594, 0.0163645, 0.0523456, 0.167439, 0.535593]","[0.0005, 0.00159936, 0.00511594, 0.0163645, 0.0523456, 0.167439, 0.535593]","[0.4862011, 0.4924626, 0.5089066, 0.5448581, 0.6169412, 0.7642657, 1.1119535]","[0.1552305, 0.1598858, 0.1723547, 0.2029143, 0.2805815, 0.5071073, 1.2191946]",0.5448581,0.2029143,A2,A1
sky130_fd_sc_hd__a2111oi_0,"['A1', 'A2', 'B1', 'C1', 'D1', 'Y']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.46219]",8.7584,(!A1&!B1&!C1&!D1)|(!A2&!B1&!C1&!D1),0.0004219171,"[0.001894, 0.001845, 0.001748, 0.001895, 0.001773, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.000932701, 0.00173986, 0.00324554, 0.00605425, 0.0112936, 0.0210671]","[0.0005, 0.000932701, 0.00173986, 0.00324554, 0.00605425, 0.0112936, 0.0210671]","[0.0844721, 0.0893093, 0.097755, 0.1126254, 0.1390618, 0.1868581, 0.2730725]","[0.3079694, 0.3278548, 0.3644732, 0.4330449, 0.5599988, 0.7956229, 1.2334483]",0.1126254,0.4330449,A2,A2
sky130_fd_sc_hd__a2111oi_1,"['A1', 'A2', 'B1', 'C1', 'D1', 'Y']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.496226]",10.0096,(!A1&!B1&!C1&!D1)|(!A2&!B1&!C1&!D1),0.000402294,"[0.002289, 0.00235, 0.002405, 0.002431, 0.002455, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.000995459, 0.00198188, 0.00394575, 0.00785567, 0.01564, 0.0311379]","[0.0005, 0.000995459, 0.00198188, 0.00394575, 0.00785567, 0.01564, 0.0311379]","[0.078138, 0.081514, 0.0878403, 0.0997324, 0.1213786, 0.1628733, 0.2425857]","[0.3295881, 0.3452432, 0.3761388, 0.4380079, 0.5602468, 0.8025327, 1.2818162]",0.0997324,0.4380079,A2,A2
sky130_fd_sc_hd__a2111oi_2,"['A1', 'A2', 'B1', 'C1', 'D1', 'Y']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.497111]",15.0144,(!A1&!B1&!C1&!D1)|(!A2&!B1&!C1&!D1),0.001074878,"[0.004817, 0.004472, 0.004364, 0.004737, 0.004404, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00110027, 0.00242118, 0.00532788, 0.0117242, 0.0257995, 0.0567727]","[0.0005, 0.00110027, 0.00242118, 0.00532788, 0.0117242, 0.0257995, 0.0567727]","[0.0714036, 0.0737604, 0.0788228, 0.0892603, 0.1092139, 0.1499659, 0.2359972]","[0.3279921, 0.3382986, 0.3617275, 0.4116692, 0.5216736, 0.7615591, 1.2855881]",0.0892603,0.4116692,A2,A2
sky130_fd_sc_hd__a2111oi_4,"['A1', 'A2', 'B1', 'C1', 'D1', 'Y']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.500027]",27.5264,(!A1&!B1&!C1&!D1)|(!A2&!B1&!C1&!D1),0.001822726,"[0.008423, 0.008717, 0.008453, 0.008386, 0.008456, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00121958, 0.00297475, 0.00725588, 0.0176982, 0.0431688, 0.105296]","[0.0005, 0.00121958, 0.00297475, 0.00725588, 0.0176982, 0.0431688, 0.105296]","[0.0750916, 0.0769049, 0.0814274, 0.0911035, 0.1098633, 0.1541844, 0.2569184]","[0.3273903, 0.3345845, 0.3516507, 0.3921476, 0.4897137, 0.7249425, 1.2942378]",0.0911035,0.3921476,A1,A2
sky130_fd_sc_hd__a211o_1,"['A1', 'A2', 'B1', 'C1', 'X']","['input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.500708]",8.7584,(A1&A2)|(B1)|(C1),0.003137275,"[0.00242, 0.002432, 0.002373, 0.00233, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00132949, 0.00353507, 0.00939965, 0.0249934, 0.0664568, 0.176707]","[0.0005, 0.00132949, 0.00353507, 0.00939965, 0.0249934, 0.0664568, 0.176707]","[0.2909573, 0.2997677, 0.3179217, 0.353538, 0.4214818, 0.5649178, 0.9131425]","[0.1164297, 0.1232365, 0.1390017, 0.175587, 0.2684822, 0.5112734, 1.1554356]",0.353538,0.175587,A2,A2
sky130_fd_sc_hd__a211o_2,"['A1', 'A2', 'B1', 'C1', 'X']","['input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.50562]",10.0096,(A1&A2)|(B1)|(C1),0.003175101,"[0.002347, 0.002376, 0.00236, 0.002328, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00147161, 0.00433129, 0.012748, 0.0375202, 0.110431, 0.325022]","[0.0005, 0.00147161, 0.00433129, 0.012748, 0.0375202, 0.110431, 0.325022]","[0.3326989, 0.3406574, 0.358377, 0.3932299, 0.4603083, 0.5973059, 0.937094]","[0.1257447, 0.1314457, 0.1448634, 0.1761062, 0.2570024, 0.4893485, 1.1654133]",0.3932299,0.1761062,A2,A2
sky130_fd_sc_hd__a211o_4,"['A1', 'A2', 'B1', 'C1', 'X']","['input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.503838]",17.5168,(A1&A2)|(B1)|(C1),0.004354992,"[0.004362, 0.004786, 0.004856, 0.004429, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.001611, 0.00519063, 0.0167242, 0.0538853, 0.173618, 0.559397]","[0.0005, 0.001611, 0.00519063, 0.0167242, 0.0538853, 0.173618, 0.559397]","[0.340074, 0.3451296, 0.3584006, 0.3879574, 0.4487248, 0.5794059, 0.9239829]","[0.1270807, 0.130917, 0.1413932, 0.1682033, 0.2411985, 0.4642995, 1.1746963]",0.3879574,0.1682033,A2,A2
